Ticker,Strategy,CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (%),Trades Count,Final Equity,Param_warmup,Param_rsi_buy,Param_rsi_sell,Param_risk_rr,Param_momentum_period,Param_breakout_threshold,Param_volume_sma,Param_bb_period,Param_bb_std,Param_rsi_oversold,Param_rsi_overbought,Param_pattern_window,Param_support_resistance_window,Param_ma_short,Param_ma_medium,Param_ma_long,Param_atr_period,Param_atr_multiplier,Param_lookback_period,Param_price_bins,Param_volume_ma_period,Param_volatility_threshold,Param_trend_threshold,Param_rsi_period,Param_lookback_window,Param_zscore_threshold,Param_mean_reversion_period,Param_hurst_period,Param_momentum_weight,Param_mean_reversion_weight,Param_volatility_weight,Param_volume_weight,Param_quality_weight,Param_sentiment_weight,Param_factor_threshold,Param_feature_period,Param_prediction_horizon,Param_ensemble_models,Param_sentiment_period,Param_sentiment_threshold,Param_spread_threshold,Param_volume_threshold,Param_iv_period,Param_strategy_type,Param_profit_target
GE,crypto_arbitrage,63.08977081465616,2.375563156499108,-21.36425479576648,21.587714089327807,5,4.287680224425921,60,,,,8.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,0.02,2.0,,,
GE,sentiment_analysis,40.26025762161483,2.237489298351503,-9.391997491480108,15.673859889897686,2,2.7371932045017715,55,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,6.0,0.32,,,,,
GE,crypto_arbitrage,47.11341100220399,2.2155846328170474,-8.929732826850023,18.170159541013003,10,3.1547509159867095,100,,,,25.0,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,0.035,1.1,,,
GE,quantitative_factor,53.96940657987801,2.164422344814452,-17.64917746806949,20.97031379764383,22,3.6127722396857673,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.28,0.13,0.12,0.15,0.1,0.55,,,,,,,,,,
GE,momentum,66.86249476258467,2.1639791526833485,-24.252346104369714,25.149169302943942,13,4.589675084824087,20,,,,10.0,0.015,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE,quantitative_factor,52.87992693574057,2.12072176287225,-17.64917746806949,21.077784564397064,20,3.5372202502654275,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3,0.15,0.1,0.15,0.1,0.6,,,,,,,,,,
GE,market_regime,42.254577348811864,2.116767430608609,-13.451646671012307,17.36859602138166,5,2.854659505606143,85,,,,,,,,,,,,,,,,,,18.0,,,0.015,0.01,8.0,,,,,,,,,,,,,,,,,,,,,
GE,quantitative_factor,46.970457935469724,2.067960327893174,-9.831193556044216,19.55564046485429,22,3.145636057045959,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,0.15,0.15,0.1,0.1,0.7,,,,,,,,,,
GE,crypto_arbitrage,51.9579522313123,2.058905667656421,-17.64917746806949,21.447592765551267,6,3.474109868483634,80,,,,12.0,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,0.025,2.5,,,
GE,crypto_arbitrage,37.432827719251094,2.0063466975316184,-15.64192641088924,16.52616349677757,11,2.57622374224274,70,,,,10.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,0.012,1.2,,,
